county,2019,2020,2021,2022,2023,2024
San Joaquin,886.9979333333333,939.0698693333334,955.005984,843.1445653333333,640.5573733333333,592.77445308311
Stanislaus,884.1347886597938,939.9667835051547,947.7706597938144,872.9561701030927,693.2053917525773,707.9596237113401
Merced,919.5532617449663,974.2414899328859,983.9328993288591,926.758201342282,690.0271409395973,696.0351666666667
Madera,933.3542413793103,965.4256206896551,976.7858275862069,960.4957931034482,788.9024827586206,642.9411379310345
Fresno,948.7164580152672,940.3715190839695,990.2525267175573,944.729641221374,737.7702442748092,789.7379457364341
Tulare,901.355264957265,928.683282051282,930.6264615384615,916.3446837606837,725.8980598290599,733.7546837606837
Kings,897.2470307692308,947.9119846153847,976.6666,931.4387384615384,828.8524,819.3397384615384
Kern,900.27112,924.50632,899.1648514285714,931.2063999999999,797.2534514285713,765.0348971428571
Riverside,1095.6086897435898,1126.9195205128206,1121.7389153846154,1154.9912743589744,1101.873935897436,1061.1867099447513
Imperial,1131.9885209580839,1066.1760838323353,1083.3035688622754,1186.1944071856287,1058.7801856287424,912.9743018867924
