county,WY,parcel_years,unique_parcels,ET_open_total_mm,ET_corr_total_mm,delta_total_mm,ET_corr_ci_low_total_mm,ET_corr_ci_high_total_mm,pct_reduction_total,total_ci_width_mm
Fresno,2019,131,131,150310.423,148191.84530594308,2118.57769405692,145456.06725732848,149511.79778345025,1.4094682536133372,4055.73052612177
Fresno,2020,131,131,152843.768,149790.89991420982,3052.868085790179,143681.54500481876,151532.5329796232,1.9973781893352553,7850.987974804448
Fresno,2021,131,131,153924.027,151157.21677557536,2766.8102244246325,144622.50938553503,152468.30504600008,1.7975167869176345,7845.7956604650535
Fresno,2022,131,131,155209.215,152162.84670691093,3046.3682930890623,148657.01253572188,153824.08170375772,1.9627496299682092,5167.069168035843
Fresno,2023,131,131,131466.655,129871.596493,1595.0585070000002,128003.3050059,130916.12804,1.213279905083156,2912.8230341000017
Fresno,2024,129,129,125144.498,123383.84318516037,1760.6548148396382,121106.11038670938,124164.61269357832,1.4068975008710636,3058.502306868948
Imperial,2019,167,167,215938.045,214784.5962775,1153.4487225,212505.647204,215278.2052364,0.534157249825986,2772.558032400004
Imperial,2020,167,167,207703.388,207280.44497225,422.94302775,206443.6421182375,207568.19242615,0.2036283720851005,1124.55030791249
Imperial,2021,167,167,219062.4,218907.08679825,155.31320175000005,218430.0534365,219016.302128,0.0708990688269644,586.248691500019
Imperial,2022,167,167,223649.764,223105.75619860936,544.0078013906251,222518.3717558125,223518.1157599,0.2432409458704482,999.7440040875226
Imperial,2023,167,167,206331.87099999998,205599.3333475,732.5376525000001,204036.570507375,205815.33453075,0.35502884210263386,1778.764023374999
Imperial,2024,159,159,177912.293,177783.28820452603,129.0047954739584,177372.72695955765,177894.47190909635,0.07251033264686123,521.7449495386973
Kern,2019,175,175,186174.456,185047.97416960355,1126.4818303964487,183521.82673668116,185690.9440032071,0.605067878053286,2169.117266525951
Kern,2020,175,175,193397.327,191223.54313667986,2173.783863320135,186502.2514099588,192018.8983066524,1.1239989182064214,5516.646896693623
Kern,2021,175,175,190495.308,189328.45646429688,1166.8515357031251,187616.9780842961,189991.0686354887,0.6125355778857952,2374.090551192581
Kern,2022,175,175,197466.49,195355.38568317657,2111.1043168234373,192195.07958989072,196577.11192306297,1.069094972429721,4382.032333172247
Kern,2023,175,175,176459.152,169334.92380084374,7124.2281991562495,159621.4995761625,172493.67609274999,4.037324286334692,12872.176516587497
Kern,2024,175,175,166257.519,164481.609011,1775.909989,162583.3705807625,165663.8644957625,1.068168224620265,3080.493914999999
Kings,2019,65,65,72513.26699999999,71386.93085425,1126.33614575,70137.9395145,72062.63996475,1.5532828575355735,1924.7004502499913
Kings,2020,65,65,75540.077,74678.9600865,861.1169134999998,72033.9270301,75160.2358520125,1.1399470952352877,3126.308821912491
Kings,2021,65,65,75365.189,74591.03239225,774.1566077500003,71471.021699025,74860.29452225,1.0272071469893087,3389.2728232249938
Kings,2022,65,65,74394.096,73046.2153265013,1347.880673498698,70900.87191605364,73787.35635266927,1.8118113479041371,2886.484436615632
Kings,2023,65,65,67171.61200000001,66744.89429225,426.71770775,65747.3078998,67004.525506,0.6352649505419045,1257.2176062000071
Kings,2024,65,65,66337.149,65614.70190723611,722.4470927638888,64664.25405683889,65979.78603403445,1.0890535750396642,1315.531977195562
Madera,2019,29,29,33451.429000000004,33207.3334495829,244.09555041710075,32898.772958015834,33428.17685760622,0.7297014140026745,529.4038995903829
Madera,2020,29,29,35109.368,34942.57012904687,166.797870953125,34598.026750678124,35071.06737084375,0.4750808130557206,473.04062016562966
Madera,2021,29,29,35362.886,34806.5458345478,556.3401654522058,34320.051165341545,35052.07147778566,1.5732317929373918,732.0203124441177
Madera,2022,29,29,35100.234,34886.123775471875,214.11022452812503,34570.714522996874,35019.58914133156,0.6099965730374477,448.8746183346884
Madera,2023,29,29,30769.654,30724.68854704306,44.965452956937796,30590.95900425933,30769.56575762823,0.14613571201332912,178.60675336889835
Madera,2024,29,29,28877.21,28705.261297317436,171.94870268256588,28582.831952313707,28811.830734267107,0.5954477689588636,228.99878195339988
Merced,2019,149,149,161156.733,160388.97480850585,767.7581914941616,159962.368755807,160599.94606884825,0.4764046634614773,637.5773130412563
Merced,2020,149,149,169663.42,168414.64657993466,1248.7734200653315,167520.125834108,169415.31460472458,0.7360298525547413,1895.1887706165726
Merced,2021,149,149,171679.631,171314.74033901026,364.8906609897562,171168.13582350579,171446.3250772606,0.21254161537064128,278.1892537548265
Merced,2022,149,149,165029.553,164548.3474676303,481.2055323697113,164379.22223936592,164824.6235638099,0.29158749061733885,445.4013244439848
Merced,2023,149,149,144630.629,144625.20256410193,5.4264358980654865,144624.0093629216,144627.2945229842,0.003751927192452082,3.285160062572686
Merced,2024,144,144,138114.661,138059.33696846382,55.32403153618415,138044.36979163936,138079.08912262914,0.04005659582814612,34.719330989784794
Riverside,2019,390,390,500536.951,491619.88186175,8917.069138249999,476865.6633376,496299.9998456875,1.7815006705169303,19434.336508087465
Riverside,2020,390,390,509031.144,502771.57976500003,6259.564235,493678.3451965625,506115.3987258375,1.2297016221467187,12437.053529275
Riverside,2021,390,390,515860.747,508277.8806315435,7582.866368456502,495330.5952354976,512626.3651285012,1.4699444399588135,17295.769893003628
Riverside,2022,390,390,530256.452,512417.83386285545,17838.61813714453,486125.8574298586,523519.52924225153,3.364149190426924,37393.671812392946
Riverside,2023,390,390,502738.297,495576.656826375,7161.640173625,484644.71680148126,499767.9680480937,1.4245264815433387,15123.25124661246
Riverside,2024,362,362,458566.729,449292.76035825,9273.96864175,437285.6271564438,455034.09595211875,2.022381488943564,17748.46879567497
San Joaquin,2019,375,375,402234.276,397202.3052399139,5031.970760086055,389625.13755569054,399675.0217364167,1.2510049641035699,10049.884180726134
San Joaquin,2020,375,375,427846.734,422772.50871866307,5074.225281336957,415413.05909920327,425342.0972845239,1.1859913558056883,9929.03818532062
San Joaquin,2021,375,375,421013.04,391546.8113995258,29466.228600474187,366151.72798398696,407841.49079116323,6.998887397994653,41689.762807176274
San Joaquin,2022,375,375,396807.143,390842.70926584397,5964.433734156027,383878.7213119061,394846.38212486287,1.5031064433625951,10967.660812956747
San Joaquin,2023,375,375,346251.293,344461.0694732063,1790.223526793714,342152.8847134755,345527.2652857463,0.5170301347564106,3374.380572270835
San Joaquin,2024,373,373,340727.354,337848.2146784826,2879.1393215173694,335034.3234406253,339168.6996784494,0.8449979984634194,4134.376237824152
Stanislaus,2019,194,194,205871.44,204823.63794030427,1047.8020596957301,203719.49532233324,205432.8151829769,0.5089594067519662,1713.319860643649
Stanislaus,2020,194,194,216303.916,214837.47580154476,1466.4401984552412,214184.7022750322,215655.1144520818,0.6779536060064864,1470.412177049584
Stanislaus,2021,194,194,217182.418,212654.24675992198,4528.171240078006,211039.43492503848,214661.1368839455,2.0849621630412116,3621.7019589070114
Stanislaus,2022,194,194,206682.793,205297.08082603564,1385.712173964366,204359.48855600064,205872.37544610395,0.6704535747029342,1512.886890103313
Stanislaus,2023,194,194,185354.97,185131.15936651317,223.81063348681963,184833.73205621252,185250.66367604627,0.12074703661132993,416.9316198337474
Stanislaus,2024,194,194,183313.979,182711.41893782798,602.5600621720109,182223.5326795645,182892.99279315936,0.3287038257851634,669.4601135948615
Tulare,2019,117,117,125466.421,124443.5806488592,1022.8403511407928,123466.47997584302,125061.1487823199,0.8152303564479556,1594.6688064768823
Tulare,2020,117,117,129620.269,127487.88005567045,2132.388944329545,126578.82182687538,128548.74002864357,1.6451045509939075,1969.9182017681887
Tulare,2021,117,117,128773.104,128204.47470342909,568.6292965709135,127494.68853372276,128405.81406055701,0.4415745826635611,911.1255268342502
Tulare,2022,117,117,127035.744,125559.63221797031,1476.1117820296872,122911.76670263294,126465.19916372144,1.1619657078795769,3553.432461088494
Tulare,2023,117,117,115062.422,114725.715283875,336.70671612500007,114048.35473375,114880.203765,0.2926296094523371,831.8490312499925
Tulare,2024,117,117,108333.747,107830.55769384063,503.18930615937506,107229.4642672125,108194.86953766219,0.4644806628532613,965.4052704496862
