wy_month,wy_month_label,parcel_months,unique_parcels,ET_open_total_mm,ET_corr_total_mm,delta_total_mm,pct_reduction_mean,pct_reduction_median,ci_rel_width_pct_median,pct_reduction_total
1,Oct,10707,1792,816205.764,814537.2521347853,1668.5118652147685,0.18626615799004598,0.0,0.0,0.2044229456354058
2,Nov,10707,1792,434262.637,429323.8129638909,4938.824036109075,1.1395534697697225,0.0,0.0,1.1372896526921508
3,Dec,10707,1792,304831.671,301017.82496410236,3813.84603589765,1.406685492268044,0.0,0.0,1.2511318208460205
4,Jan,10707,1792,373642.733,369876.18190632586,3766.5510936741694,1.173242129489543,0.0,0.0,1.0080621837422887
5,Feb,10707,1792,549931.487,546663.7931897365,3267.693810263418,0.6857489881130224,0.0,0.0,0.5942001662951549
6,Mar,10707,1792,886315.246,880603.4343611143,5711.811638885687,0.6643566660475014,0.0,0.0,0.6444447012125172
7,Apr,10707,1792,1270010.226,1255480.058255865,14530.167744135093,1.1923896801063718,0.0,0.0,1.1440984841436301
8,May,10707,1792,1525726.71,1499619.4137237305,26107.29627626943,1.7394869274563705,0.0,0.0,1.7111384434155597
9,Jun,10707,1792,1645284.286,1616713.5395456585,28570.746454341384,1.856121902951183,0.0,0.0,1.7365233897542607
10,Jul,10707,1792,1702632.907,1666698.7202078537,35934.18679214638,2.214983562205683,0.0,0.0,2.1105070062026225
11,Aug,10707,1792,1496619.669,1469142.3348243465,27477.334175653523,1.997030156386877,0.0,0.0,1.835959712731366
12,Sep,10707,1792,1105421.444,1096137.8593044726,9283.58469552752,0.9195679271173288,0.0,0.0,0.8398231051077312
