county,WY,UniqueID,months_count,harvest_events_n,landsat_clear_passes_n,ET_open_annual_mm,ET_corr_annual_mm,delta_annual_mm,annual_pct_reduction,ET_corr_ci_low_annual_mm,ET_corr_ci_high_annual_mm,annual_ci_width_mm,annual_ci_rel_width_pct_of_corr,method,ci_alpha
San Joaquin,2019,3900402,12,4,13,808.919,808.919,0.0,0.0,808.919,808.919,0.0,0.0,A,0.1
San Joaquin,2019,3900440,12,5,13,1067.106,1065.407318,1.698681999999991,0.15918587281863197,1046.4227,1065.407318,18.984617999999955,1.7819117326543419,A,0.1
San Joaquin,2019,3900175,12,6,13,1196.51,1194.9311429374998,1.5788570624999778,0.13195519155711008,1194.4496789921875,1195.5608574999999,1.111178507812383,0.09299100742163037,A,0.1
San Joaquin,2019,3900381,12,8,13,1026.284,1017.846749,8.437250999999996,0.822116587611226,1014.994977,1023.4721470000001,8.477170000000115,0.8328532766183757,A,0.1
San Joaquin,2019,3900453,12,4,13,1141.271,1141.271,0.0,0.0,1106.2692195,1141.271,35.001780499999995,3.0669122846370405,A,0.1
San Joaquin,2019,3900477,12,5,13,1085.312,1083.79992,1.5120799999999974,0.13932214883830618,1049.902437,1083.82758,33.925142999999935,3.1302034973392447,A,0.1
San Joaquin,2019,3900490,12,5,13,1163.219,1162.4674533124999,0.7515466874999959,0.06460921696602238,1162.2403476289062,1162.757064408789,0.5167167798826995,0.04444999973206074,A,0.1
San Joaquin,2019,3900497,12,5,13,1103.892,1098.763636,5.128363999999991,0.464571171817532,1039.8298659999998,1101.480965,61.65109900000016,5.610951889929507,A,0.1
San Joaquin,2019,3900543,12,6,13,1172.254,1166.93153809375,5.322461906249956,0.4540365745179762,1165.6819857239582,1168.858555950651,3.1765702266927747,0.27221564616223204,A,0.1
San Joaquin,2019,3900659,12,6,13,1037.905,1028.186329,9.718671,0.9363738492443914,1009.7186369999998,1032.133069,22.414432000000147,2.179997084944722,A,0.1
San Joaquin,2019,3900677,12,3,13,937.701,937.701,0.0,0.0,925.567667,937.701,12.133332999999993,1.2939447649090694,A,0.1
San Joaquin,2019,3900703,12,6,13,1104.573,1103.6133707460938,0.959629253906229,0.08687784817356833,1103.3170024804688,1103.986604177539,0.6696016970702203,0.06067357598409111,A,0.1
San Joaquin,2019,3900735,12,4,13,959.736,959.736,0.0,0.0,917.6817679999999,959.736,42.05423200000007,4.38185417656523,A,0.1
San Joaquin,2019,3900755,12,3,13,1080.291,1080.291,0.0,0.0,1080.291,1080.291,0.0,0.0,A,0.1
San Joaquin,2019,3900801,12,5,13,1093.114,1080.675628,12.438372000000001,1.1378842462908718,1008.856693,1080.675628,71.81893500000001,6.645743934552765,A,0.1
