UniqueID,county,WY,n_cuttings,n_cp_season,et_cum_minET_to_last_cut_mm,cut_match_ratio,gdd5_mean
3900175,San Joaquin,2019,8,8,1073.821,1.0,3761.9287109375
3900381,San Joaquin,2019,7,10,989.2059999999999,0.7,4095.27099609375
3900402,San Joaquin,2019,5,0,726.1880000000002,,3788.1787109375
3900440,San Joaquin,2019,6,0,873.1170000000002,,3586.2919921875
3900453,San Joaquin,2019,6,0,888.06,,3494.66796875
3900477,San Joaquin,2019,7,0,1005.2819999999999,,3858.52099609375
3900490,San Joaquin,2019,6,0,1027.202,,3757.1142578125
3900497,San Joaquin,2019,7,0,1096.2510000000002,,4300.4130859375
3900543,San Joaquin,2019,7,0,955.931,,3293.23193359375
3900659,San Joaquin,2019,8,0,1000.329,,4140.91796875
3900677,San Joaquin,2019,4,0,696.8979999999999,,3007.28759765625
3900703,San Joaquin,2019,7,0,1109.011,,4325.96484375
3900735,San Joaquin,2019,4,0,637.7629999999999,,2424.03759765625
3900755,San Joaquin,2019,4,0,929.9610000000001,,3491.96142578125
3900801,San Joaquin,2019,6,0,993.556,,3879.026123046875
3900819,San Joaquin,2019,7,0,1007.6970000000001,,4124.24853515625
3900864,San Joaquin,2019,6,0,1010.598,,3705.26416015625
3900924,San Joaquin,2019,5,0,898.1969999999999,,3318.3671875
3901062,San Joaquin,2019,8,0,1054.1760000000002,,4371.83251953125
3901103,San Joaquin,2019,7,0,912.065,,3366.9951171875
3901200,San Joaquin,2019,7,0,920.248,,4108.087890625
3901351,San Joaquin,2019,8,0,862.211,,3569.1572265625
3901446,San Joaquin,2019,7,0,833.8720000000001,,3837.916015625
3901521,San Joaquin,2019,8,0,1053.345,,4140.53125
3901548,San Joaquin,2019,4,0,802.1859999999999,,2605.8642578125
3901615,San Joaquin,2019,7,0,1080.885,,3947.09619140625
3901620,San Joaquin,2019,7,0,1005.6510000000001,,3592.224853515625
3901622,San Joaquin,2019,8,0,1028.545,,3912.578369140625
3901624,San Joaquin,2019,7,0,1155.3410000000001,,4280.5302734375
3901638,San Joaquin,2019,8,0,949.203,,4118.90185546875
3901646,San Joaquin,2019,8,0,975.076,,4136.6611328125
3901828,San Joaquin,2019,8,0,1045.039,,4139.9140625
3901918,San Joaquin,2019,7,0,1096.434,,4325.96484375
3902004,San Joaquin,2019,7,0,1014.457,,3814.911865234375
3902049,San Joaquin,2019,8,0,1020.1080000000001,,3939.06689453125
3902139,San Joaquin,2019,6,0,817.759,,3183.744140625
3902146,San Joaquin,2019,4,0,782.644,,2876.30908203125
3902191,San Joaquin,2019,9,9,949.718,1.0,4064.1416015625
3902328,San Joaquin,2019,6,0,805.837,,3318.7099609375
3902354,San Joaquin,2019,6,0,949.5740000000001,,3366.97509765625
3902388,San Joaquin,2019,8,8,1007.65,1.0,3689.4140625
3902454,San Joaquin,2019,8,0,984.238,,4178.0654296875
3902628,San Joaquin,2019,5,0,920.7879999999999,,3321.807373046875
3902638,San Joaquin,2019,8,0,1070.6709999999998,,4369.1083984375
3902687,San Joaquin,2019,5,0,853.587,,3066.2900390625
3902712,San Joaquin,2019,6,0,941.838,,3323.14892578125
3902820,San Joaquin,2019,7,0,1169.988,,4342.876953125
3902892,San Joaquin,2019,6,0,717.197,,3000.896484375
3902898,San Joaquin,2019,6,0,807.235,,3082.94970703125
3902920,San Joaquin,2019,8,0,1060.6870000000001,,4376.54833984375
3902927,San Joaquin,2019,8,0,787.05,,3881.9560546875
3902955,San Joaquin,2019,8,0,753.9169999999999,,3797.18017578125
3902966,San Joaquin,2019,5,0,973.291,,3230.1474609375
3902971,San Joaquin,2019,6,0,1033.034,,3649.85693359375
3903011,San Joaquin,2019,6,0,814.8969999999999,,3140.7001953125
3903027,San Joaquin,2019,8,0,827.5790000000002,,4298.5458984375
3903036,San Joaquin,2019,6,0,1026.597,,3557.2099609375
3903046,San Joaquin,2019,2,0,189.36,,863.19091796875
3903053,San Joaquin,2019,6,0,1001.097,,3955.85205078125
3903055,San Joaquin,2019,6,0,1008.2460000000001,,3956.563720703125
3903124,San Joaquin,2019,5,0,796.288,,2883.1943359375
3903143,San Joaquin,2019,7,0,720.9970000000001,,3774.65625
3903197,San Joaquin,2019,5,0,760.066,,3011.55419921875
3903216,San Joaquin,2019,7,0,1017.223,,4108.087890625
3903231,San Joaquin,2019,5,0,896.617,,3110.37890625
3903280,San Joaquin,2019,6,0,819.9810000000001,,3142.7158203125
3903299,San Joaquin,2019,6,0,858.133,,3157.95849609375
3903326,San Joaquin,2019,7,0,852.5799999999999,,4050.9501953125
3903364,San Joaquin,2019,8,0,1110.955,,3993.7998046875
3903463,San Joaquin,2019,6,0,1059.787,,3867.5908203125
3903478,San Joaquin,2019,5,0,762.923,,3142.97216796875
3903560,San Joaquin,2019,8,0,985.702,,4072.75
3903614,San Joaquin,2019,7,0,1018.9320000000001,,4260.94482421875
3903717,San Joaquin,2019,8,0,1015.424,,3957.06982421875
3903767,San Joaquin,2019,8,0,1139.5749999999998,,4383.78515625
3903791,San Joaquin,2019,6,0,1008.317,,3913.7880859375
3903811,San Joaquin,2019,7,0,1054.7659999999998,,3954.020263671875
3903879,San Joaquin,2019,7,0,1025.3609999999999,,3999.243896484375
3903899,San Joaquin,2019,8,0,1009.5079999999999,,4125.4140625
3903944,San Joaquin,2019,7,0,1154.491,,4141.81396484375
3904000,San Joaquin,2019,6,0,786.326,,3385.893798828125
3904126,San Joaquin,2019,6,0,888.54,,3626.038330078125
3904148,San Joaquin,2019,6,0,1003.1410000000001,,3756.31298828125
3904285,San Joaquin,2019,5,0,946.5820000000001,,2967.90673828125
3904518,San Joaquin,2019,7,0,1097.058,,4015.26318359375
3904595,San Joaquin,2019,6,0,877.5540000000001,,3062.23876953125
3904640,San Joaquin,2019,7,0,1123.018,,4352.994140625
3904658,San Joaquin,2019,5,0,713.891,,2985.924072265625
3904793,San Joaquin,2019,6,0,814.5740000000001,,3436.4365234375
3904872,San Joaquin,2019,8,0,806.8199999999999,,4054.361328125
3904951,San Joaquin,2019,8,0,1051.961,,4274.60205078125
3904962,San Joaquin,2019,4,0,749.557,,2618.240966796875
3905082,San Joaquin,2019,4,0,497.56,,2547.8974609375
3905114,San Joaquin,2019,4,0,332.48699999999997,,2213.9140625
3905118,San Joaquin,2019,10,0,993.3140000000001,,4114.302734375
3905123,San Joaquin,2019,5,0,732.1529999999999,,2857.6025390625
3905127,San Joaquin,2019,8,0,1159.011,,4299.1689453125
3905142,San Joaquin,2019,6,0,1024.321,,4123.1611328125
3905216,San Joaquin,2019,8,8,916.898,1.0,3827.80859375
3905246,San Joaquin,2019,6,7,1006.225,0.8571428571428571,4074.851318359375
3905277,San Joaquin,2019,7,8,1034.223,0.875,4041.580810546875
3905284,San Joaquin,2019,7,0,1082.181,,3763.904296875
3905294,San Joaquin,2019,6,0,1178.372,,4228.48388671875
3905337,San Joaquin,2019,5,6,986.97,0.8333333333333334,3712.23291015625
3905367,San Joaquin,2019,8,8,882.662,1.0,3994.820068359375
3905372,San Joaquin,2019,7,8,1026.23,0.875,4059.06005859375
3905602,San Joaquin,2019,9,9,1039.78,1.0,3649.482421875
3905609,San Joaquin,2019,7,7,956.4650000000001,1.0,3851.65478515625
3905612,San Joaquin,2019,7,7,1069.601,1.0,4101.8837890625
3905693,San Joaquin,2019,7,8,1070.06,0.875,3879.874267578125
3905768,San Joaquin,2019,9,10,940.439,0.9,3813.8671875
3906013,San Joaquin,2019,8,10,1035.409,0.8,4046.6875
3906029,San Joaquin,2019,9,0,1084.4910000000002,,4394.10107421875
3906086,San Joaquin,2019,7,7,1100.422,1.0,4073.012451171875
3906138,San Joaquin,2019,7,9,952.3909999999998,0.7777777777777778,3627.5927734375
3906160,San Joaquin,2019,8,8,1049.433,1.0,4061.6767578125
3906209,San Joaquin,2019,7,0,1040.07,,3938.197021484375
3906237,San Joaquin,2019,7,8,812.442,0.875,3710.06298828125
3906262,San Joaquin,2019,7,8,1015.748,0.875,3388.445068359375
3906323,San Joaquin,2019,8,8,1053.425,1.0,3941.25048828125
3906330,San Joaquin,2019,6,0,977.627,,3954.830078125
3906348,San Joaquin,2019,7,9,824.681,0.7777777777777778,4018.007568359375
3906372,San Joaquin,2019,7,0,922.1990000000001,,3832.143798828125
3906396,San Joaquin,2019,6,0,782.045,,3363.870849609375
3906431,San Joaquin,2019,7,0,1003.3550000000001,,3937.26904296875
3906515,San Joaquin,2019,8,0,1096.4850000000001,,4371.4677734375
3906537,San Joaquin,2019,6,8,1024.867,0.75,4034.869140625
3906729,San Joaquin,2019,6,7,976.028,0.8571428571428571,3479.93701171875
3906736,San Joaquin,2019,8,9,939.184,0.8888888888888888,3775.49072265625
