cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,count,is_model
0,Critical,1,0,0–150,75,31.010731057650855,0.10174124362746342,1,True
0,Critical,1,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,1,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,1,3,500–700,600,248.08584846120684,0.8139299490197074,0,True
0,Critical,1,4,700–900,800,330.78113128160913,1.0852399320262767,0,True
0,Critical,1,5,900–1100,1000,413.4764141020114,1.3565499150328457,0,True
0,Critical,1,6,1100–1400,1250,516.8455176275143,1.6956873937910573,0,True
0,Critical,1,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,1,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,1,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,2,0,0–150,75,31.010731057650855,0.10174124362746342,1,True
0,Critical,2,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,2,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,2,3,500–700,600,248.08584846120684,0.8139299490197074,0,True
0,Critical,2,4,700–900,800,330.78113128160913,1.0852399320262767,0,True
0,Critical,2,5,900–1100,1000,413.4764141020114,1.3565499150328457,0,True
0,Critical,2,6,1100–1400,1250,516.8455176275143,1.6956873937910573,0,True
0,Critical,2,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,2,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,2,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,3,0,0–150,75,31.010731057650855,0.10174124362746342,1,True
0,Critical,3,1,150–300,225,93.03219317295257,0.3052237308823903,1,True
0,Critical,3,2,300–500,400,228.48640000000006,0.7496272965879267,5,False
0,Critical,3,3,500–700,600,248.08584846120684,0.8139299490197074,3,True
0,Critical,3,4,700–900,800,330.78113128160913,1.0852399320262767,4,True
0,Critical,3,5,900–1100,1000,413.4764141020114,1.3565499150328457,0,True
0,Critical,3,6,1100–1400,1250,516.8455176275143,1.6956873937910573,0,True
0,Critical,3,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,3,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,3,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,4,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,4,1,150–300,225,93.03219317295257,0.3052237308823903,2,True
0,Critical,4,2,300–500,400,165.39056564080457,0.5426199660131383,3,True
0,Critical,4,3,500–700,600,311.95207692307696,1.0234648193014335,13,False
0,Critical,4,4,700–900,800,414.9185263157895,1.3612812543168946,19,False
0,Critical,4,5,900–1100,1000,413.4764141020114,1.3565499150328457,4,True
0,Critical,4,6,1100–1400,1250,516.8455176275143,1.6956873937910573,0,True
0,Critical,4,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,4,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,4,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,5,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,5,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,5,2,300–500,400,126.6596,0.41554986876640415,10,False
0,Critical,5,3,500–700,600,311.63112765957453,1.0224118361534598,47,False
0,Critical,5,4,700–900,800,419.1571978021978,1.3751876568313575,91,False
0,Critical,5,5,900–1100,1000,424.44079310344824,1.392522287084804,29,False
0,Critical,5,6,1100–1400,1250,455.5099285714286,1.494455146231721,14,False
0,Critical,5,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,5,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,5,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,6,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,6,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,6,2,300–500,400,165.39056564080457,0.5426199660131383,2,True
0,Critical,6,3,500–700,600,267.6446730769231,0.8780993211185141,52,False
0,Critical,6,4,700–900,800,372.39945777777774,1.2217829979585884,225,False
0,Critical,6,5,900–1100,1000,433.6192688172043,1.4226353963819036,186,False
0,Critical,6,6,1100–1400,1250,454.02124137931037,1.4895710019006245,58,False
0,Critical,6,7,1400–1700,1550,640.8884418581177,2.102652368300911,2,True
0,Critical,6,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,6,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,7,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,7,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,7,2,300–500,400,165.39056564080457,0.5426199660131383,1,True
0,Critical,7,3,500–700,600,260.6772894736842,0.8552404510291476,38,False
0,Critical,7,4,700–900,800,359.1140519877676,1.1781957086212846,327,False
0,Critical,7,5,900–1100,1000,427.4941366459627,1.4025398183922662,483,False
0,Critical,7,6,1100–1400,1250,460.08525431034485,1.5094660574486378,232,False
0,Critical,7,7,1400–1700,1550,620.2679999999999,2.0349999999999997,7,False
0,Critical,7,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,7,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,8,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,8,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,8,2,300–500,400,165.39056564080457,0.5426199660131383,2,True
0,Critical,8,3,500–700,600,186.5514,0.6120452755905511,10,False
0,Critical,8,4,700–900,800,345.9736571428571,1.1350841769778777,175,False
0,Critical,8,5,900–1100,1000,419.7052725527831,1.376985802338527,521,False
0,Critical,8,6,1100–1400,1250,465.01581375358165,1.525642433574743,349,False
0,Critical,8,7,1400–1700,1550,524.2081000000001,1.719842847769029,30,False
0,Critical,8,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,8,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,9,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,9,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,9,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,9,3,500–700,600,248.08584846120684,0.8139299490197074,4,True
0,Critical,9,4,700–900,800,318.087,1.0435925196850393,45,False
0,Critical,9,5,900–1100,1000,413.32329317269074,1.356047549779169,249,False
0,Critical,9,6,1100–1400,1250,452.3239457831325,1.484002446795054,166,False
0,Critical,9,7,1400–1700,1550,541.2290555555555,1.7756858778069406,18,False
0,Critical,9,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,9,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,10,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,10,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,10,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,10,3,500–700,600,248.08584846120684,0.8139299490197074,0,True
0,Critical,10,4,700–900,800,331.1057777777778,1.086305045202683,9,False
0,Critical,10,5,900–1100,1000,420.1443970588236,1.3784264995368227,68,False
0,Critical,10,6,1100–1400,1250,454.4003137254902,1.4908146775770676,51,False
0,Critical,10,7,1400–1700,1550,640.8884418581177,2.102652368300911,4,True
0,Critical,10,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,10,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,11,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,11,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,11,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,11,3,500–700,600,248.08584846120684,0.8139299490197074,1,True
0,Critical,11,4,700–900,800,330.78113128160913,1.0852399320262767,2,True
0,Critical,11,5,900–1100,1000,392.3944,1.2873832020997376,5,False
0,Critical,11,6,1100–1400,1250,396.87283333333335,1.3020762248468942,6,False
0,Critical,11,7,1400–1700,1550,640.8884418581177,2.102652368300911,2,True
0,Critical,11,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,11,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,12,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,12,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,12,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,12,3,500–700,600,248.08584846120684,0.8139299490197074,0,True
0,Critical,12,4,700–900,800,330.78113128160913,1.0852399320262767,1,True
0,Critical,12,5,900–1100,1000,413.4764141020114,1.3565499150328457,0,True
0,Critical,12,6,1100–1400,1250,516.8455176275143,1.6956873937910573,1,True
0,Critical,12,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,12,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,12,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,13,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,13,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,13,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,13,3,500–700,600,248.08584846120684,0.8139299490197074,0,True
0,Critical,13,4,700–900,800,330.78113128160913,1.0852399320262767,0,True
0,Critical,13,5,900–1100,1000,413.4764141020114,1.3565499150328457,0,True
0,Critical,13,6,1100–1400,1250,516.8455176275143,1.6956873937910573,0,True
0,Critical,13,7,1400–1700,1550,640.8884418581177,2.102652368300911,0,True
0,Critical,13,8,1700–2100,1900,785.6051867938216,2.577444838562407,0,True
0,Critical,13,9,2100–2500,2300,950.9957524346263,3.1200648045755455,0,True
0,Critical,14,0,0–150,75,31.010731057650855,0.10174124362746342,0,True
0,Critical,14,1,150–300,225,93.03219317295257,0.3052237308823903,0,True
0,Critical,14,2,300–500,400,165.39056564080457,0.5426199660131383,0,True
0,Critical,14,3,500–700,600,248.08584846120684,0.8139299490197074,0,True
