x,y,x_bin,n,y_mean,y_median,x_min,x_max
tmax_mean,n_cp_season,"(13.502, 24.351]",2555,7.830528375733855,8.0,13.503199577331545,24.350624084472656
tmax_mean,n_cp_season,"(24.351, 27.149]",2555,7.954598825831702,8.0,24.3509521484375,27.14849090576172
tmax_mean,n_cp_season,"(27.149, 29.981]",2555,8.058708414872799,8.0,27.148887634277344,29.98064041137696
tmax_mean,n_cp_season,"(29.981, 41.328]",2555,7.947553816046967,8.0,29.98388862609864,41.32773971557617
et_cum_minET_to_last_cut_mm,n_cp_season,"(-0.001, 19.63]",2555,7.765166340508806,7.0,0.0,19.597
et_cum_minET_to_last_cut_mm,n_cp_season,"(19.63, 69.363]",2555,7.60665362035225,7.0,19.641,69.354
et_cum_minET_to_last_cut_mm,n_cp_season,"(69.363, 116.524]",2555,7.867318982387475,8.0,69.37299999999999,116.52
et_cum_minET_to_last_cut_mm,n_cp_season,"(116.524, 430.953]",2555,8.55225048923679,9.0,116.534,430.953
late_et_mm,n_cp_season,"(-0.001, 12.626]",5110,7.808219178082192,7.0,0.0,12.624
late_et_mm,n_cp_season,"(12.626, 36.498]",2555,7.944031311154599,8.0,12.627999999999998,36.495
late_et_mm,n_cp_season,"(36.498, 249.461]",2555,8.230919765166341,8.0,36.506,249.461
late_et_acft,n_cp_season,"(-0.001, 0.736]",5110,7.854990215264188,8.0,0.0,0.7358566045860296
late_et_acft,n_cp_season,"(0.736, 3.476]",2555,7.906849315068493,8.0,0.7359549897989824,3.4750395519291857
late_et_acft,n_cp_season,"(3.476, 127.009]",2555,8.174559686888454,8.0,3.478301933739513,127.0089023792763
tmax_mean,n_cuttings,"(13.502, 24.351]",2555,3.7416829745596867,4.0,13.503199577331545,24.350624084472656
tmax_mean,n_cuttings,"(24.351, 27.149]",2555,3.8587084148727984,4.0,24.3509521484375,27.14849090576172
tmax_mean,n_cuttings,"(27.149, 29.981]",2555,4.031311154598826,4.0,27.148887634277344,29.98064041137696
tmax_mean,n_cuttings,"(29.981, 41.328]",2555,3.8841487279843445,4.0,29.98388862609864,41.32773971557617
et_cum_minET_to_last_cut_mm,n_cuttings,"(-0.001, 19.63]",2555,3.6277886497064578,4.0,0.0,19.597
et_cum_minET_to_last_cut_mm,n_cuttings,"(19.63, 69.363]",2555,3.6927592954990214,4.0,19.641,69.354
et_cum_minET_to_last_cut_mm,n_cuttings,"(69.363, 116.524]",2555,3.971037181996086,4.0,69.37299999999999,116.52
et_cum_minET_to_last_cut_mm,n_cuttings,"(116.524, 430.953]",2555,4.22426614481409,4.0,116.534,430.953
late_et_mm,n_cuttings,"(-0.001, 12.626]",5110,3.7048923679060666,4.0,0.0,12.624
late_et_mm,n_cuttings,"(12.626, 36.498]",2555,4.06027397260274,4.0,12.627999999999998,36.495
late_et_mm,n_cuttings,"(36.498, 249.461]",2555,4.0457925636007825,4.0,36.506,249.461
late_et_acft,n_cuttings,"(-0.001, 0.736]",5110,3.758904109589041,4.0,0.0,0.7358566045860296
late_et_acft,n_cuttings,"(0.736, 3.476]",2555,3.956164383561644,4.0,0.7359549897989824,3.4750395519291857
late_et_acft,n_cuttings,"(3.476, 127.009]",2555,4.041878669275929,4.0,3.478301933739513,127.0089023792763
