WY,n_parcels,n_years,late_cuts_removed,cut_cap_k,area_acres,area_acres_unique,baseline_late_et_total_acft,water_saved_total_acft,scenario_late_et_total_acft,baseline_late_et_total_mm_area_weighted,water_saved_total_mm_area_weighted,scenario_late_et_total_mm_area_weighted,mean_saved_mm_per_cut,mean_saved_acft_per_acre_per_cut,water_saved_acft_per_acre,water_saved_mm_per_acre,water_saved_acft_per_parcel,water_saved_acft_per_cut_removed,water_saved_acft_per_acre_per_cut_removed,water_saved_pct_of_baseline_late_et,water_saved
2019,1792.0,1.0,5140.0,0,68075.65845960626,68075.65845960626,101043.03222776741,101043.03222776741,0.0,452.40717342892725,452.40717342892725,0.0,157.67315585636402,0.5173003801061811,1.4842755033757455,452.40717342892725,56.385620662816635,19.65817747621934,0.5173003801061811,1.0,1.4842755033757455
2020,1792.0,1.0,4902.0,0,68075.65845960626,68075.65845960626,96351.80271038547,96351.80271038547,0.0,431.40279698581935,431.40279698581935,0.0,157.552443635685,0.5169043426367615,1.415363507171323,431.4027969858193,53.767747048206175,19.65561050803457,0.5169043426367615,1.0,1.415363507171323
2021,1792.0,1.0,4819.0,0,68075.65845960626,68075.65845960626,94010.2501655647,94010.25016556472,-1.4551915228366852e-11,420.91879680409716,420.91879680409716,0.0,159.28312804307114,0.5225824410861915,1.3809671811158044,420.9187968040972,52.461077101319596,19.508248633651114,0.5225824410861915,1.0000000000000002,1.3809671811158044
2022,1792.0,1.0,4699.0,0,68075.65845960626,68075.65845960626,96399.48339856026,96399.48339856026,0.0,431.61628113102665,431.61628113102665,0.0,165.81706326205216,0.5440192364240556,1.416063914471872,431.6162811310266,53.79435457508943,20.514893253577412,0.5440192364240556,1.0,1.416063914471872
2023,1792.0,1.0,4027.0,0,68075.65845960626,68075.65845960626,81268.75742772313,81268.75742772313,0.0,363.8704027911548,363.8704027911548,0.0,167.16654263211382,0.5484466621788512,1.193800534091715,363.8704027911548,45.35086910029192,20.180967824117985,0.5484466621788512,1.0,1.193800534091715
2024,1747.0,1.0,3592.0,0,66634.60806886037,66634.60806886037,74311.67983297887,74311.67983297887,0.0,339.9164588720202,339.9164588720202,0.0,167.1849049303323,0.5485069059394103,1.1152114792389114,339.9164588720202,42.5367371682764,20.68810685773354,0.5485069059394103,1.0,1.1152114792389114
2019,1792.0,1.0,3367.0,1,68075.65845960626,68075.65845960626,101043.03222776741,60401.89690417333,40641.135323594084,452.40717342892725,270.44172018279016,181.9654532461371,144.54945313982165,0.4742436126634569,0.8872759848516739,270.4417201827902,33.70641568313244,17.9393813199208,0.4742436126634569,0.5977838904123308,0.8872759848516739
2020,1792.0,1.0,3116.0,1,68075.65845960626,68075.65845960626,96351.80271038547,55289.275347828196,41062.52736255727,431.40279698581935,247.55061511476282,183.85218187105653,141.51760262257696,0.4642965965307643,0.8121739341035524,247.5506151147628,30.853390261064842,17.74366988056104,0.4642965965307643,0.5738270981189305,0.8121739341035524
2021,1792.0,1.0,3039.0,1,68075.65845960626,68075.65845960626,94010.2501655647,52297.033175429635,41713.21699013507,420.91879680409716,234.1532358637306,186.76556094036656,142.3457586993725,0.4670136440268127,0.768219277768145,234.1532358637306,29.183612263074572,17.20863217355368,0.4670136440268127,0.5562907564156836,0.768219277768145
2022,1792.0,1.0,2922.0,1,68075.65845960626,68075.65845960626,96399.48339856026,52878.45924723681,43521.02415132345,431.61628113102665,236.75649627570277,194.85978485532388,144.90198463901692,0.4754002120702654,0.7767601583848515,236.75649627570274,29.508068776359828,18.096666409047504,0.4754002120702654,0.5485346744921099,0.7767601583848515
2023,1792.0,1.0,2387.0,1,68075.65845960626,68075.65845960626,81268.75742772313,41522.934611149096,39745.82281657404,363.8704027911548,185.91359607616562,177.95680671498917,145.128946472842,0.4761448375093242,0.6099527430320394,185.91359607616562,23.171280474971592,17.3954480985124,0.4761448375093242,0.5109335484559091,0.6099527430320394
2024,1747.0,1.0,2037.0,1,66634.60806886037,66634.60806886037,74311.67983297887,35714.60477064986,38597.075062329015,339.9164588720202,163.3657321559489,176.5507267160713,143.3132461047254,0.4701878153042173,0.5359768115352656,163.36573215594893,20.443391397052007,17.53294294091795,0.4701878153042173,0.4806055367194112,0.5359768115352656
