county,WY,n_parcels,n_years,late_cuts_removed,cut_cap_k,area_acres,area_acres_unique,baseline_late_et_total_acft,water_saved_total_acft,scenario_late_et_total_acft,baseline_late_et_total_mm_area_weighted,water_saved_total_mm_area_weighted,scenario_late_et_total_mm_area_weighted,mean_saved_mm_per_cut,mean_saved_acft_per_acre_per_cut,water_saved_acft_per_acre,water_saved_mm_per_acre,water_saved_acft_per_parcel,water_saved_acft_per_cut_removed,water_saved_acft_per_acre_per_cut_removed,water_saved_pct_of_baseline_late_et,water_saved
Fresno,2019,131.0,1.0,414.0,0,5977.547201327037,5977.547201327037,10221.580911617135,10221.580911617135,0.0,521.2067352925698,521.2067352925698,0.0,160.35623091603054,0.5261031198032498,1.7099958506974076,521.2067352925699,78.02733520318424,24.68980896525878,0.5261031198032498,1.0,1.7099958506974076
Fresno,2020,131.0,1.0,372.0,0,5977.547201327037,5977.547201327037,8883.986129634624,8883.986129634624,0.0,453.00168800197577,453.00168800197577,0.0,155.40835368956746,0.5098699268030428,1.4862260105051697,453.0016880019757,67.81668801247805,23.8816831441791,0.5098699268030428,1.0,1.4862260105051697
Fresno,2021,131.0,1.0,370.0,0,5977.547201327037,5977.547201327037,8935.280481112844,8935.280481112844,0.0,455.6172287587414,455.6172287587414,0.0,157.28791984732825,0.516036482438741,1.4948071809669992,455.61722875874136,68.20824794742629,24.14940670571039,0.516036482438741,1.0,1.4948071809669992
Fresno,2022,131.0,1.0,336.0,0,5977.547201327037,5977.547201327037,9061.111836423179,9061.111836423179,0.0,462.03347204496333,462.03347204496333,0.0,175.69257243589746,0.5764192009051752,1.5158578479165465,462.0334720449634,69.16879264445174,26.967594751259462,0.5764192009051752,1.0,1.5158578479165465
Fresno,2023,131.0,1.0,303.0,0,5977.547201327037,5977.547201327037,6630.114522447555,6630.114522447555,0.0,338.0749391645752,338.0749391645752,0.0,158.8889484463277,0.5212892009393952,1.109169747915273,338.0749391645752,50.61156124005767,21.881566080685,0.5212892009393952,1.0,1.109169747915273
Fresno,2024,129.0,1.0,277.0,0,5918.424682018676,5918.424682018676,6442.3336597988,6442.3336597988,0.0,331.78141228569547,331.78141228569547,0.0,159.05584770114942,0.5218367706730624,1.0885216938507067,331.7814122856954,49.94057100619225,23.257522237540794,0.5218367706730624,1.0,1.0885216938507067
Imperial,2019,167.0,1.0,464.0,0,8626.940327464219,8626.940327464219,12756.322400388175,12756.322400388177,-1.8189894035458565e-12,450.69595013429074,450.69595013429074,0.0,162.3593363453815,0.5326749880097819,1.4786612537214265,450.69595013429085,76.3851640741807,27.492074138767624,0.5326749880097819,1.0000000000000002,1.4786612537214265
Imperial,2020,167.0,1.0,399.0,0,8626.940327464219,8626.940327464219,10701.40927025487,10701.40927025487,0.0,378.09344005656834,378.09344005656834,0.0,158.2305552147239,0.519129118158543,1.2404640421803421,378.0934400565683,64.08029503146629,26.820574612167594,0.519129118158543,1.0,1.2404640421803421
Imperial,2021,167.0,1.0,413.0,0,8626.940327464219,8626.940327464219,11427.262095497672,11427.262095497672,0.0,403.7386784303263,403.7386784303263,0.0,169.2521772727273,0.5552892955141971,1.324601963354089,403.7386784303264,68.42671913471659,27.668915485466517,0.5552892955141971,1.0,1.324601963354089
Imperial,2022,167.0,1.0,437.0,0,8626.940327464219,8626.940327464219,11417.1070277697,11417.1070277697,0.0,403.3798878828095,403.3798878828095,0.0,162.14398142570278,0.5319684429977126,1.3234248290118422,403.3798878828095,68.36591034592635,26.1261030383746,0.5319684429977126,1.0,1.3234248290118422
Imperial,2023,167.0,1.0,386.0,0,8626.940327464219,8626.940327464219,11008.195880683,11008.195880683,0.0,388.932573666987,388.932573666987,0.0,171.89926687116562,0.5639739726744281,1.2760255041567816,388.932573666987,65.91734060289222,28.518642177935234,0.5639739726744281,1.0,1.2760255041567816
