cutoff_idx,cutoff_label,county,county_idx,wy_type,mean_n_late,mean_savings_cap0_acft,mean_savings_cap1_acft,is_sparse
0,Jul 1,San Joaquin,0,Critical,2,0.8892285096883379,0.4019241763164087,False
0,Jul 1,San Joaquin,0,Dry,2,0.8764565163415563,0.41596400017648544,False
0,Jul 1,San Joaquin,0,Above Normal,2,0.8405687800363237,0.26849686587430555,False
0,Jul 1,San Joaquin,0,Wet,2,0.9266481280828811,0.42124429174161065,False
1,Jul 16,San Joaquin,0,Critical,2,0.8892285096883379,0.4019241763164087,False
1,Jul 16,San Joaquin,0,Dry,2,0.8764565163415563,0.41596400017648544,False
1,Jul 16,San Joaquin,0,Above Normal,2,0.8405687800363237,0.26849686587430555,False
1,Jul 16,San Joaquin,0,Wet,2,0.9266481280828811,0.42124429174161065,False
2,Aug 1,San Joaquin,0,Critical,1,0.44461425484416894,0.0,False
2,Aug 1,San Joaquin,0,Dry,1,0.43822825817077815,0.0,False
2,Aug 1,San Joaquin,0,Above Normal,1,0.42028439001816187,0.0,False
2,Aug 1,San Joaquin,0,Wet,1,0.46332406404144055,0.0,False
3,Aug 16,San Joaquin,0,Critical,1,0.44461425484416894,0.0,False
3,Aug 16,San Joaquin,0,Dry,1,0.43822825817077815,0.0,False
3,Aug 16,San Joaquin,0,Above Normal,1,0.42028439001816187,0.0,False
3,Aug 16,San Joaquin,0,Wet,1,0.46332406404144055,0.0,False
4,Sep 1,San Joaquin,0,Critical,1,0.44461425484416894,0.0,False
4,Sep 1,San Joaquin,0,Dry,1,0.43822825817077815,0.0,False
4,Sep 1,San Joaquin,0,Above Normal,1,0.42028439001816187,0.0,False
4,Sep 1,San Joaquin,0,Wet,1,0.46332406404144055,0.0,False
5,Sep 16,San Joaquin,0,Critical,0,0.0,0.0,False
5,Sep 16,San Joaquin,0,Dry,0,0.0,0.0,False
5,Sep 16,San Joaquin,0,Above Normal,0,0.0,0.0,False
5,Sep 16,San Joaquin,0,Wet,0,0.0,0.0,False
6,Oct 1,San Joaquin,0,Critical,0,0.0,0.0,False
6,Oct 1,San Joaquin,0,Dry,0,0.0,0.0,False
6,Oct 1,San Joaquin,0,Above Normal,0,0.0,0.0,False
6,Oct 1,San Joaquin,0,Wet,0,0.0,0.0,False
0,Jul 1,Stanislaus,1,Critical,2,0.9490654187337172,0.43090241191578815,False
0,Jul 1,Stanislaus,1,Dry,2,0.9354371468453423,0.4459462937398926,False
0,Jul 1,Stanislaus,1,Above Normal,2,0.8971433727611853,0.28793304774114825,False
0,Jul 1,Stanislaus,1,Wet,2,0.9889937775727523,0.4516042053415077,False
1,Jul 16,Stanislaus,1,Critical,2,0.9490654187337172,0.43090241191578815,False
1,Jul 16,Stanislaus,1,Dry,2,0.9354371468453423,0.4459462937398926,False
1,Jul 16,Stanislaus,1,Above Normal,2,0.8971433727611853,0.28793304774114825,False
1,Jul 16,Stanislaus,1,Wet,2,0.9889937775727523,0.4516042053415077,False
2,Aug 1,Stanislaus,1,Critical,1,0.4745327093668586,0.0,False
2,Aug 1,Stanislaus,1,Dry,1,0.46771857342267115,0.0,False
2,Aug 1,Stanislaus,1,Above Normal,1,0.44857168638059264,0.0,False
2,Aug 1,Stanislaus,1,Wet,1,0.49449688878637615,0.0,False
3,Aug 16,Stanislaus,1,Critical,1,0.4745327093668586,0.0,False
3,Aug 16,Stanislaus,1,Dry,1,0.46771857342267115,0.0,False
3,Aug 16,Stanislaus,1,Above Normal,1,0.44857168638059264,0.0,False
3,Aug 16,Stanislaus,1,Wet,1,0.49449688878637615,0.0,False
4,Sep 1,Stanislaus,1,Critical,1,0.4745327093668586,0.0,False
4,Sep 1,Stanislaus,1,Dry,1,0.46771857342267115,0.0,False
4,Sep 1,Stanislaus,1,Above Normal,1,0.44857168638059264,0.0,False
4,Sep 1,Stanislaus,1,Wet,1,0.49449688878637615,0.0,False
5,Sep 16,Stanislaus,1,Critical,0,0.0,0.0,False
5,Sep 16,Stanislaus,1,Dry,0,0.0,0.0,False
5,Sep 16,Stanislaus,1,Above Normal,0,0.0,0.0,False
5,Sep 16,Stanislaus,1,Wet,0,0.0,0.0,False
6,Oct 1,Stanislaus,1,Critical,0,0.0,0.0,False
6,Oct 1,Stanislaus,1,Dry,0,0.0,0.0,False
6,Oct 1,Stanislaus,1,Above Normal,0,0.0,0.0,False
6,Oct 1,Stanislaus,1,Wet,0,0.0,0.0,False
