cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,mean_n_late,count,is_model,cell_type
0,Critical,1,0,0–150,75,,,,1,True,infeasible
0,Critical,1,1,150–300,225,,,,0,True,infeasible
0,Critical,1,2,300–500,400,,,,0,True,infeasible
0,Critical,1,3,500–700,600,,,,0,True,infeasible
0,Critical,1,4,700–900,800,,,,0,True,infeasible
0,Critical,1,5,900–1100,1000,,,,0,True,infeasible
0,Critical,1,6,1100–1400,1250,,,,0,True,infeasible
0,Critical,1,7,1400–1700,1550,,,,0,True,infeasible
0,Critical,1,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,1,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,2,0,0–150,75,,,,1,True,infeasible
0,Critical,2,1,150–300,225,,,,0,True,infeasible
0,Critical,2,2,300–500,400,,,,0,True,infeasible
0,Critical,2,3,500–700,600,,,,0,True,infeasible
0,Critical,2,4,700–900,800,,,,0,True,infeasible
0,Critical,2,5,900–1100,1000,,,,0,True,infeasible
0,Critical,2,6,1100–1400,1250,,,,0,True,infeasible
0,Critical,2,7,1400–1700,1550,,,,0,True,infeasible
0,Critical,2,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,2,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,3,0,0–150,75,,,,1,True,infeasible
0,Critical,3,1,150–300,225,,,,1,True,infeasible
0,Critical,3,2,300–500,400,,,,5,True,infeasible
0,Critical,3,3,500–700,600,,,,3,True,infeasible
0,Critical,3,4,700–900,800,,,,4,True,infeasible
0,Critical,3,5,900–1100,1000,,,,0,True,infeasible
0,Critical,3,6,1100–1400,1250,,,,0,True,infeasible
0,Critical,3,7,1400–1700,1550,,,,0,True,infeasible
0,Critical,3,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,3,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,4,0,0–150,75,,,,0,True,infeasible
0,Critical,4,1,150–300,225,,,,2,True,infeasible
0,Critical,4,2,300–500,400,,,,3,True,infeasible
0,Critical,4,3,500–700,600,,,,13,True,infeasible
0,Critical,4,4,700–900,800,,,,19,True,infeasible
0,Critical,4,5,900–1100,1000,,,,4,True,infeasible
0,Critical,4,6,1100–1400,1250,,,,0,True,infeasible
0,Critical,4,7,1400–1700,1550,,,,0,True,infeasible
0,Critical,4,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,4,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,5,0,0–150,75,,,,0,True,infeasible
0,Critical,5,1,150–300,225,,,,0,True,infeasible
0,Critical,5,2,300–500,400,126.6596,0.41554986876640415,1.0,10,False,observed
0,Critical,5,3,500–700,600,311.63112765957453,1.0224118361534598,2.0,47,False,observed
0,Critical,5,4,700–900,800,419.1571978021978,1.3751876568313575,2.0,91,False,observed
0,Critical,5,5,900–1100,1000,424.44079310344824,1.392522287084804,2.0,29,False,observed
0,Critical,5,6,1100–1400,1250,455.5099285714286,1.494455146231721,2.0,14,False,observed
0,Critical,5,7,1400–1700,1550,,,,0,True,infeasible
0,Critical,5,8,1700–2100,1900,,,,0,True,infeasible
0,Critical,5,9,2100–2500,2300,,,,0,True,infeasible
0,Critical,6,0,0–150,75,,,,0,True,infeasible
0,Critical,6,1,150–300,225,,,,0,True,infeasible
0,Critical,6,2,300–500,400,,,,2,True,infeasible
0,Critical,6,3,500–700,600,267.6446730769231,0.8780993211185141,2.0,52,False,observed
